"#Modified dataset.  Original Data Source Credit: Small Area Health Insurance Estimates Program, U.S. Census Bureau. (https://stanfordphs.redivis.com/datasets/4mz7-dh26w34ns)",,,,,,,,,,,,,,,
# Here are the descriptions of this dataset:,,,,,,,,,,,,,,,
# year - Year of Estimate,,,,,,,,,,,,,,,
# statefips - Unique FIPS code for each state,,,,,,,,,,,,,,,
# countyfips - Unique FIPS code for each county within a state,,,,,,,,,,,,,,,
"# geocat - Geography category, 40 – State geographic identifier, 50 – County geographic identifier",,,,,,,,,,,,,,,
# agecat - Age category,,,,,,,,,,,,,,,
# racecat - Race category,,,,,,,,,,,,,,,
# sexcat - Sex category,,,,,,,,,,,,,,,
# iprcat - Income category,,,,,,,,,,,,,,,
# NIPR - Number in demographic group for income category,,,,,,,,,,,,,,,
# NUI - Number uninsured,,,,,,,,,,,,,,,
# NIC - Number insured,,,,,,,,,,,,,,,
# PCTUI - Percent uninsured in demographic group for income category,,,,,,,,,,,,,,,
# PCTIC - Percent insured in demographic group for income category,,,,,,,,,,,,,,,
# PCTELIG - Percent uninsured in demographic group for all income levels,,,,,,,,,,,,,,,
# PCTLIIC - Percent insured in demographic group for all income levels,,,,,,,,,,,,,,,
# state_name - State name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
year,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,NUI,NIC,PCTUI,PCTIC,PCTELIG,PCTLIIC,state_name
2020,26,0,40,40 to 64 years,Hispanic (any race),Male,At or below 400% of poverty,42704,9550,33154,22.4,77.6,14.5,50.5,Michigan                                                              
2020,26,0,40,40 to 64 years,Hispanic (any race),Male,Between 138% - 400% of poverty,29970,5781,24189,19.3,80.7,8.8,36.8,Michigan                                                              
2020,26,0,40,40 to 64 years,Hispanic (any race),Female,At or below 200% of poverty,22140,5531,16609,25,75,8.5,25.6,Michigan                                                              
2020,26,0,40,40 to 64 years,Hispanic (any race),Female,At or below 250% of poverty,28684,6729,21955,23.5,76.5,10.4,33.8,Michigan                                                              
2020,26,0,40,40 to 64 years,Hispanic (any race),Female,At or below 138% of poverty,13873,3738,10135,26.9,73.1,5.8,15.6,Michigan                                                              
2020,26,0,40,40 to 64 years,Hispanic (any race),Female,At or below 400% of poverty,43347,8692,34655,20.1,79.9,13.4,53.3,Michigan                                                              
2020,26,0,40,40 to 64 years,Hispanic (any race),Female,Between 138% - 400% of poverty,29474,4954,24520,16.8,83.2,7.6,37.7,Michigan                                                              
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Male,At or below 200% of poverty,151049,18434,132615,12.2,87.8,2.3,16.8,Michigan                                                              
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Male,At or below 250% of poverty,198294,23540,174754,11.9,88.1,3,22.1,Michigan                                                              
2020,26,0,40,50 to 64 years,"White alone, not Hispanic",Male,At or below 138% of poverty,97976,12103,85873,12.4,87.6,1.5,10.8,Michigan                                                              
